identifiantReferentiel,titre,unite,titreCourt,titreLong,parents,categories,thematiques,actionIds,valeurCalcule,participationScore,sansValeurUtilisateur,borneMin,borneMax,precision,description,exprCible,exprSeuil,libelleCibleSeuil
cae_4.ei,Emissions de SO2 - Chantiers,tonnes,Chantiers,Quantité totale d'émissions de Dioxyde de soufre - Chantiers,cae_4.e,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.f,Emissions de NH3,tonnes,,Quantité totale d'émissions d'Ammoniac,emission_polluants_atmo,"agregation, cae, clef, crte, pcaet",nature_environnement_air,cae_1.1.1,opt_val(cae_4.fa)+opt_val(cae_4.fb)+opt_val(cae_4.fc)+opt_val(cae_4.fd)+opt_val(cae_4.fe)+opt_val(cae_4.ff)+opt_val(cae_4.fg)+opt_val(cae_4.fh),FALSE,FALSE,,,2,"Ces indicateurs estiment les émissions annuelles des six polluants atmosphériques exigés dans le contenu réglementaire des PCAET (décret n°2016-849 du 28 juin 2016 et arrêté du 4 août 2016 relatifs au plan climat-air-énergie territorial) : oxydes d’azote (NOx), les particules PM 10 et PM 2,5 et les composés organiques volatils (COV), tels que définis au I de l’article R. 221-1 du même code, ainsi que le dioxyde de soufre (SO2) et l’ammoniac (NH3).

Les données peuvent être fournies notamment par les associations agréées pour la surveillance de la qualité de l'air (AASQA).

**Objectif opérationnel national fixé par les documents de référence:**

Plan national de réduction des émissions polluantes (décret n°2017-949 du 10 mai 2017): réduction des polluants par rapport aux émissions de 2005 :

NH3 (2020 = -4% /2025 = -8% / 2030 = -13%)",,,
cae_4.fa,Emissions de NH3 - Résidentiel,tonnes,Résidentiel,Quantité totale d'émissions d'Ammoniac - Résidentiel,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fb,Emissions de NH3 - Tertiaire,tonnes,Tertiaire,Quantité totale d'émissions d'Ammoniac - Tertiaire,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fc,Emissions de NH3 - Agriculture,tonnes,Agriculture,Quantité totale d'émissions d'Ammoniac - Agriculture,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fd,Emissions de NH3 - Déchets,tonnes,Déchets,Quantité totale d'émissions d'Ammoniac - Déchets,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fe,Emissions de NH3 - Industrie hors branche énergie,tonnes,Industrie,Quantité totale d'émissions d'Ammoniac - Industrie hors branche énergie,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.ff,Emissions de NH3 - Industrie branche énergie,tonnes,Branche énergie,Quantité totale d'émissions d'Ammoniac - Industrie branche énergie,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fg,Emissions de NH3 - Transport routier,tonnes,Transport routier,Quantité totale d'émissions d'Ammoniac - Transport routier,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fh,Emissions de NH3 - Autres transports,tonnes,Autres transports,Quantité totale d'émissions d'Ammoniac - Autres transports,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_4.fi,Emissions de NH3 - Chantiers,tonnes,Chantiers,Quantité totale d'émissions d'Ammoniac - Chantiers,cae_4.f,"cae, pcaet",nature_environnement_air,,,FALSE,FALSE,,,2,,,,
cae_40,Consommation annuelle d'énergie des véhicules,kWh/an,,"Consommation annuelle d'énergie des véhicules de type ""véhicule particulier"" pour le fonctionnement de la collectivité",,cae,mobilite_et_transport,cae_4.1.2,,FALSE,FALSE,,,2,"L'indicateur mesure la consommation d'énergie en kWh (gazole, essence, GPL, GNV, électricité, biogaz, agro-carburants...) des véhicules de type ""véhicule particulier"" pour le fonctionnement de la collectivité.

Facteurs de conversion simplifiés : gazole et essence 10 kWh/L, GPL 7 kWh/L, GNV 11 kWh/m3.

L'indicateur est ensuite divisé par le nombre d'agents et/ou par kilomètre effectué pour faciliter les comparaisons avec d'autres collectivités.

Le service Mobili’Pro de l’ADEME vous aide à optimiser la mobilité professionnelle au sein de votre collectivité.",,,
