identifiantReferentiel,titre,unite,titreCourt,titreLong,parents,categories,thematiques,actionIds,valeurCalcule,participationScore,sansValeurUtilisateur,borneMin,borneMax,precision,description,exprCible,exprSeuil,libelleCibleSeuil
cae_1.a,Émissions de gaz à effet de serre,kteq CO2,,Quantité de gaz à effet de serre émis par les activités et les habitants,,"agregation, cae, clef, crte, pcaet, SYDEV",energie_et_climat,cae_1.1.1,val(cae_1.c)+val(cae_1.d)+val(cae_1.g)+opt_val(cae_1.h)+val(cae_1.i)+opt_val(cae_1.j)+val(cae_1.k),FALSE,FALSE,,,2,"Émissions de gaz à effet de serre globales annuelles du territoire exprimées en kilo tonnes équivalent CO2. L'indicateur, issu d'un diagnostic d'émissions de gaz à effet de serre mesure la quantité totale d'émissions annuelle des différents secteurs d'activités et des habitants du territoire, selon les exigences réglementaires des PCAET (décret n°2016-849 du 28 juin 2016 et arrêté du 4 août 2016 relatifs au plan climat-air-énergie territorial). A savoir : les émissions directes produites par l'ensemble des secteurs résidentiel, tertiaire, transport routier, autres transports, agriculture, déchets, industrie hors branche énergie, branche énergie (hors production d'électricité, de chaleur et de froid pour les émissions de gaz à effet de serre, dont les émissions correspondantes sont comptabilisées au stade de la consommation). Il ne s'agit pas du bilan GES ""Patrimoine et compétences"".

**Modalités de calcul:** Pour définir les émissions de GES, se référer à l’outil Bilan GES Territoire de l’Ademe [https://www.bilans-ges.ademe.fr/fr/accueil/contenu/index/page/Bilan%2BGES%2BTerritoires/siGras/0](https://www.bilans-ges.ademe.fr/fr/accueil/contenu/index/page/Bilan%2BGES%2BTerritoires/siGras/0)

**Objectif opérationnel national fixé par les documents de référence:** Stratégie Nationale Bas Carbone (SNBC) :

-   Valeur cible à 1,1 teqCO2/hab d’ici 2050
-   40 % émissions GES globales en 2030 (loi de transition énergétique)/ -75 % en 2050 (par rapport à 1990 - loi POPE)
-   35 % émissions GES du secteur industriel en 2030 / 80 % en 2050 (par rapport à 1990)
-   50 % émissions GES du secteur agricole en 2050 (par rapport à 2015)
-   0 GES liées à la production d’énergie en 2050
-   0 GES liées au secteur du bâtiment en 2050 (100 % de bâtiments neutres)""",,,
cae_1.aa,Emissions de gaz à effet de serre totales nettes,kteq CO2,,Emissions  de gaz à effet de serre totales nettes,,,energie_et_climat,,,FALSE,FALSE,,,2,Prend en compte la capture et stockage du carbone,,,
cae_1.b,Emissions de gaz à effet de serre par habitant,teq CO2/hab,,Emissions de gaz à effet de serre du territoire par habitant,,"cae, crte",energie_et_climat,cae_1.1.1,val(cae_1.a)/val(terr_1)*1000,FALSE,FALSE,,,2,"Indicateur ""Emissions de gaz à effet de serre territoriale"" divisé par la population totale du territoire pour l'année concernée (source: INSEE).",,,
cae_1.c,Emissions de gaz à effet de serre - résidentiel,kteq CO2,Résidentiel,Emissions de gaz à effet de serre du secteur résidentiel,cae_1.a,"agregation, cae, pcaet, clef",urbanisme_et_amenagement,cae_1.2.4,opt_val(cae_1.ca)+opt_val(cae_1.cb)+opt_val(cae_1.cc),FALSE,FALSE,,,2,,,,
cae_1.ca,Emissions de gaz à effet de serre - résidentiel - Chauffage / Maisons individuelles,kteq CO2,Chauffage / Maisons individuelles,Emissions de gaz à effet de serre secteur Résidentiel - Chauffage / Maisons individuelles,cae_1.c,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_1.cb,Emissions de gaz à effet de serre - résidentiel - Chauffage / Logement collectif,kteq CO2,Chauffage / Logement collectif,Emissions de gaz à effet de serre secteur Résidentiel - Chauffage / Logement collectif,cae_1.c,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_1.cc,Emissions de gaz à effet de serre - résidentiel - Autres usages,kteq CO2,Autres usages,Emissions de gaz à effet de serre secteur Résidentiel - Autres usages,cae_1.c,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_1.csc,Capture et stockage technologique du carbone,kteq CO2,,Capture et stockage technologique du carbone,,cae,energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_1.d,Emissions de gaz à effet de serre - tertiaire,kteq CO2,Tertiaire,Emissions de gaz à effet de serre du secteur tertiaire,cae_1.a,"agregation, cae, pcaet, clef",activites_economiques,cae_6.3.1,opt_val(cae_1.da)+opt_val(cae_1.db),FALSE,FALSE,,,2,,,,
cae_1.da,Emissions de gaz à effet de serre - tertiaire - Chauffage,kteq CO2,Chauffage,Emissions de gaz à effet de serre secteur Tertiaire - Chauffage,cae_1.d,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.db,Emissions de gaz à effet de serre - tertiaire - Autres usages,kteq CO2,Autres usages,Emissions de gaz à effet de serre secteur Tertiaire - Autres usages,cae_1.d,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.e,Emissions de gaz à effet de serre - transport routier,kteq CO2,Transport routier,Emissions de gaz à effet de serre du secteur du transport routier,cae_1.k,"agregation, cae, pcaet",mobilite_et_transport,cae_1.2.2,opt_val(cae_1.ea)+opt_val(cae_1.eb),FALSE,FALSE,,,2,,,,
cae_1.ea,Emissions de gaz à effet de serre - Transport routier - mobilité locale,kteq CO2,Mobilité locale,Emissions de gaz à effet de serre secteur Transport routier - mobilité locale,cae_1.e,cae,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_1.eb,Emissions de gaz à effet de serre - Transport routier - autre,kteq CO2,Autre,Emissions de gaz à effet de serre secteur Transport routier - autre,cae_1.e,cae,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_1.f,"Emissions de gaz à effet de serre - ""autres transports""",kteq CO2,Autres transports,Emissions de gaz à effet de serre du secteur des autres transports (hors routier),cae_1.k,"cae, pcaet",mobilite_et_transport,cae_1.2.2,,FALSE,FALSE,,,2,,,,
cae_1.g,Emissions de gaz à effet de serre - agriculture,kteq CO2,Agriculture,Emissions de gaz à effet de serre du secteur de l'agriculture,cae_1.a,"agregation, cae, pcaet, clef",agri_alim,cae_6.4.1,opt_val(cae_1.ga)+opt_val(cae_1.gb)+opt_val(cae_1.gc),FALSE,FALSE,,,2,,,,
cae_1.ga,Emissions de gaz à effet de serre - agriculture - Energie,kteq CO2,Energie,Emissions de gaz à effet de serre secteur Agriculture - Energie,cae_1.g,cae,agri_alim,,,FALSE,FALSE,,,2,,,,
cae_1.gb,Emissions de gaz à effet de serre - agriculture - Elevage,kteq CO2,Elevage,Emissions de gaz à effet de serre secteur Agriculture - Elevage,cae_1.g,cae,agri_alim,,,FALSE,FALSE,,,2,,,,
cae_1.gc,Emissions de gaz à effet de serre - agriculture - Pratiques culturales,kteq CO2,Pratiques culturales,Emissions de gaz à effet de serre secteur Agriculture - Pratiques culturales,cae_1.g,cae,agri_alim,,,FALSE,FALSE,,,2,,,,
cae_1.h,Emissions de gaz à effet de serre - déchets,kteq CO2,Déchets,Emissions de gaz à effet de serre du secteur des déchets,cae_1.a,"cae, pcaet, clef",eci_dechets,cae_1.2.3,,FALSE,FALSE,,,2,,,,
cae_1.i,Emissions de gaz à effet de serre - industrie hors branche énergie,kteq CO2,Industrie,Emissions de gaz à effet de serre du secteur de l'industrie hors branche énergie,cae_1.a,"agregation, cae, pcaet, clef",activites_economiques,cae_6.3.1,opt_val(cae_1.ia)+opt_val(cae_1.ib)+opt_val(cae_1.ic)+opt_val(cae_1.id)+opt_val(cae_1.ie)+opt_val(cae_1.if)+opt_val(cae_1.ig),FALSE,FALSE,,,2,,,,
cae_1.ia,Emissions de gaz à effet de serre - industrie - Métaux primaires,kteq CO2,Métaux primaires,Emissions de gaz à effet de serre secteur Industrie - Métaux primaires,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.ib,Emissions de gaz à effet de serre - industrie - Chimie,kteq CO2,Chimie,Emissions de gaz à effet de serre secteur Industrie - Chimie,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.ic,Emissions de gaz à effet de serre - industrie - Non-métalliques,kteq CO2,Non-métalliques,Emissions de gaz à effet de serre secteur Industrie - Non-métalliques,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.id,Emissions de gaz à effet de serre - industrie - Agro-industries,kteq CO2,Agro-industries,Emissions de gaz à effet de serre secteur Industrie - Agro-industries,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.ie,Emissions de gaz à effet de serre - industrie - Equipements,kteq CO2,Equipements,Emissions de gaz à effet de serre secteur Industrie - Equipements,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.if,Emissions de gaz à effet de serre - industrie - Papier-carton,kteq CO2,Papier-carton,Emissions de gaz à effet de serre secteur Industrie - Papier-carton,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.ig,Emissions de gaz à effet de serre - industrie - Autres industries,kteq CO2,Autres industries,Emissions de gaz à effet de serre secteur Industrie - Autres industries,cae_1.i,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.j,Emissions de gaz à effet de serre de l'industrie branche énergie,kteq CO2,Branche énergie,Emissions de gaz à effet de serre du secteur de l'industrie branche énergie,cae_1.a,"cae, pcaet, clef",activites_economiques,cae_6.3.1,,FALSE,FALSE,,,2,,,,
cae_1.k,Emissions de gaz à effet de serre - Transports,kteq CO2,Transports,Emissions de gaz à effet de serre secteur Transports,cae_1.a,"agregation, cae, clef",mobilite_et_transport,,val(cae_1.e) + opt_val(cae_1.f),FALSE,FALSE,,,2,Somme des transports routiers (cae\_1.e) et autres transports (cae\_1.f),,,
cae_1.l,Emissions de gaz à effet de serre - Total industrie,kteq CO2,Industrie,Emissions de gaz à effet de serre secteur industrie (branche énergie et hors branche énergie),cae_1.a,cae,activites_economiques,,opt_val(cae_1.i) + opt_val(cae_1.j),FALSE,FALSE,,,2,Indicateur spécifique à la région Occitanie qui ne détaille pas les 2 secteurs avec et hors branche énergie.,,,
cae_10,Surfaces agricoles et naturelles,%,,Part des surfaces agricoles et naturelles (%),,"cae, clef",urbanisme_et_amenagement,cae_1.3.1,,FALSE,FALSE,,,2,"Il s'agit de la mesure de la consommation ou de la réintroduction d'espaces naturels et agricoles au fil des ans grâce au suivi des surfaces réservées à ces usages dans les PLU, mesuré en pourcentage de la surface totale de la collectivité (ha cumulé des zones N et A/ha total). Ces surfaces sont non imperméabilisées, capteuses de CO2, productrices de ressources alimentaires, énergétiques et de biodiversité.",,,
cae_11,Surface annuelle artificialisée,ha/an,,"Artificialisation des espaces naturels, agricoles, forestiers",,"SYDEV, agregation, cae, clef, crte",urbanisme_et_amenagement,cae_1.3.1,opt_val(cae_11.a)+opt_val(cae_11.b)+opt_val(cae_11.c)+opt_val(cae_11.d)+opt_val(cae_11.e)+opt_val(cae_11.f),FALSE,FALSE,,,2,"Consommation annuelle d’espaces naturels, agricoles ou forestiers par des opérations d’aménagement pouvant entraîner une imperméabilisation partielle ou totale, afin de les affecter notamment à des fonctions urbaines ou de transport (habitat, activités, commerces, infrastructures, équipements publics…)

**Objectif opérationnel national fixé par les documents de référence:**

-   Plan national biodiversité : zéro artificialisation nette    
-   Loi de finances pour 2021 : diviser par deux le rythme d’artificialisation des sols d’ici 2030",,,
cae_11.a,Artificialisation destinée à l’activité,ha/an,Activité,Artificialisation destinée à l’activité,cae_11,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_11.b,Artificialisation destinée à l’habitat,ha/an,Habitat,Artificialisation destinée à l’habitat,cae_11,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_11.c,Artificialisation destinée au mixte,ha/an,Mixte,Artificialisation destinée au mixte,cae_11,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_11.d,Artificialisation destinée aux infrastructures routières,ha/an,Infrastructures routières,Artificialisation destinée aux infrastructures routières,cae_11,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_11.e,Artificialisation destinée aux infrastructures ferroviaires,ha/an,Infrastructures ferroviaires,Artificialisation destinée aux infrastructures ferroviaires,cae_11,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_11.f,Artificialisation dont la destination est inconnue,ha/an,Inconnue,Artificialisation dont la destination est inconnue,cae_11,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_12,Diagnostic énergétique des bâtiments publics,%,,Part de bâtiments publics ayant fait l'objet d'un diagnostic énergétique,,"clef, cae",energie_et_climat,cae_2.1.1,,FALSE,FALSE,,,2,"L'indicateur mesure la part de bâtiments publics (de préférence en surface, et par défaut en nombre) ayant fait l'objet d'un diagnostic énergétique (à minima de type DPE, et de préférence un audit énergétique plus poussé). Le périmètre des bâtiments pris en compte est le plus large possible : celui dont elle est propriétaire ou celui dont elle est locataire ; les diagnostics pouvant être portés et financés par le propriétaire ou l'utilisateur. Si le suivi est effectué conjointement au niveau communal et intercommunal, l'indicateur peut-être décomposé en deux volets : part de bâtiments communaux ayant fait l'objet d'un diagnostic énergétique et part de bâtiments intercommunaux ayant fait l'objet d'un diagnostic énergétique.",,,
cae_13.a,Budget énergie de la collectivité,euros,,Dépenses énergétiques de la collectivité (euros),,"agregation, cae, clef",strategie_orga_interne,cae_2.1.1,opt_val(cae_13.b)+opt_val(cae_13.c)+opt_val(cae_13.d),FALSE,FALSE,,,2,"L'indicateur mesure les dépenses d’énergie payées directement par la collectivité, c’est-à-dire celles payées par la collectivité aux fournisseurs et aux exploitants (uniquement le poste combustibles P1 dans ce dernier cas) pour le patrimoine bâti, l’éclairage public et les carburants des véhicules.

Rapportées au nombre d'habitants, pour les communes, les valeurs peuvent-être comparées avec des valeurs de références tirées de l'enquête ADEME, 2019 ""Dépenses énergétiques des collectivités locales"".",,,
cae_13.b,Budget énergie - bâtiments,euros,Bâtiments,Dépenses  énergétiques - bâtiments (euros),cae_13.a,cae,urbanisme_et_amenagement,cae_2.1.1,,FALSE,FALSE,,,2,,,,
cae_13.c,Budget énergie - véhicules,euros,Véhicules,Dépenses énergétiques - véhicules (euros),cae_13.a,cae,mobilite_et_transport,cae_4.1.2,,FALSE,FALSE,,,2,,,,
cae_13.d,Budget énergie - éclairage public,euros,Eclairage public,Dépenses énergétiques - éclairage public (euros),cae_13.a,cae,urbanisme_et_amenagement,cae_2.3.1,,FALSE,FALSE,,,2,,,,
cae_14.a,Consommation énergétique des bâtiments publics,MWh,,Consommation d'énergie finale des bâtiments publics (MWh),,"SYDEV, clef, cae",energie_et_climat,"cae_2.2.1, cae_2.2.2",,FALSE,FALSE,,,2,"L'indicateur mesure la consommation énergétique totale (toute énergie, tout usage) du patrimoine bâti à la charge directe de la commune, en énergie finale. Les piscines et patinoires, si elles sont à la charge de la collectivité sont prises en compte, mais pas les services publics eau, assainissement, déchets, ni l'éclairage public.",,,
cae_14.b,Consommation énergétique des bâtiments publics par habitant,kWh/hab,,Consommation d'énergie finale des bâtiments publics rapporté au nombre d'habitant (kWh/hab),cae_14.a,cae,energie_et_climat,"cae_2.2.1, cae_2.2.2",val(cae_14.a)/val(terr_1)*1000,FALSE,FALSE,,,2,"L'indicateur mesure la consommation énergétique totale (toute énergie, tout usage) du patrimoine bâti à la charge directe de la collectivité, en énergie finale, rapportée par habitant.",,,
cae_14.c,Consommation énergétique des bâtiments publics par m²,kWh/m²,,Consommation énergétique des bâtiments publics rapporté à la surface du patrimoine (kWh/m²),cae_14.a,"SYDEV, cae",energie_et_climat,"cae_2.2.1, cae_2.2.2",,FALSE,FALSE,,,2,"L'indicateur mesure la consommation énergétique totale (toute énergie, tout usage) du patrimoine bâti à la charge directe de la collectivité, en énergie finale, rapportée à la surface du patrimoine de la collectivité.",,,
cae_15.a,Bâtiments publics de classe F ou G - énergie,%,,Part de bâtiments publics de classe F ou G selon le DPE pour l'énergie (ou équivalent),cae_12,"cae, hors_dom",energie_et_climat,"cae_2.2.1, cae_2.2.2",,TRUE,FALSE,,,2,"En France métropolitaine, l'indicateur mesure la part (en surface -à défaut en nombre) de bâtiments, soumis ou non à l'obligation de réalisation du DPE, dont la collectivité est propriétaire (ou mis à disposition avec transferts des droits patrimoniaux) compris dans les classes F et G selon le DPE pour l'énergie. Le patrimoine en DSP est inclus si possible. Sont exclus de cet indicateur les bâtiments qui doivent garantir des conditions de températures, d'hygrométrie ou de qualité de l'air nécessitant des règles particulières (notamment piscines et patinoires) ou destinés à rester ouverts sur l'extérieur. Les classes de performance et les modalités de calcul sont celles du Diagnostic de Performance Energétique, telles qu'elles sont définies dans l'arrêté du 7 décembre 2007 relatif à l'affichage du DPE dans les bâtiments publics en France métropolitaine (énergie primaire et distinction de 3 catégories de bâtiments). Toute démarche équivalente pourra être prise en compte. L'indicateur permet de mesurer l'effort de la collectivité pour la rénovation de ces bâtiments les plus émetteurs. L'objectif est de ne plus avoir de patrimoine dans ces classes (valeur limite : 0%).",,"si identite(localisation, Metropole) alors 0",Valeur limite définie par le programme T.E.T.E.
cae_15.a_dom,Part de bâtiments >=701 kWhep/m².an,%,,Part de bâtiments >=701 kWhep/m².an (calcul DPE ou équivalent),cae_12,"cae, dom",energie_et_climat,"cae_2.2.1, cae_2.2.2",,TRUE,FALSE,,,2,"Dans les DOM, l'indicateur mesure la part (en surface -à défaut en nombre) de bâtiments dont la collectivité est propriétaire (ou mis à disposition avec transfert des droits patrimoniaux) dont la consommation d'énergie primaire est supérieure ou égale à 701 kWhep/m². Les modalités de calcul sont celles du Diagnostic de Performance Energétique s'il existe dans le DOM concerné ou toute démarche équivalente. Les piscines/patinoires sont exclues. (valeur limite TETE : 10% et valeur cible TETE : 0%)","si identite(localisation,  DOM) alors 0","si identite(localisation, DOM) alors 10",Valeurs cible et limite définies par le programme T.E.T.E.
cae_15.b,Bâtiments publics de classe A ou B - énergie,%,,Part de bâtiments publics de classe A ou B selon le DPE pour l'énergie (ou équivalent),cae_12,"cae, hors_dom",energie_et_climat,"cae_2.2.1, cae_2.2.2",,TRUE,FALSE,,,2,"En France métropolitaire, l'indicateur mesure la part (en surface -à défaut en nombre) de bâtiments, soumis ou non à l'obligation de réalisation du DPE, dont la collectivité est propriétaire (ou mis à disposition avec transferts des droits patrimoniaux) compris dans les classes A et B selon le DPE pour l'énergie. Le patrimoine en DSP est inclus si possible. Sont exclus de cet indicateur les bâtiments qui doivent garantir des conditions de températures, d'hygrométrie ou de qualité de l'air nécessitant des règles particulières (notamment piscines et patinoires) ou destinés à rester ouverts sur l'extérieur. Les classes de performance et les modalités de calcul sont celles du Diagnostic de Performance Energétique, telles qu'elles sont définies dans l'arrêté du 7 décembre 2007 relatif à l'affichage du DPE dans les bâtiments publics en France métropolitaine (énergie primaire et distinction de 3 catégories de bâtiments). Toute démarche équivalente pourra être prise en compte. La cible est d'atteindre 30% du parc dans les classes A et B (mais valorisation progressive à partir de 0%).","si identite(localisation, Metropole) alors 30","si identite(localisation, Metropole) alors 10",Valeurs cible et limite définies par le programme T.E.T.E.
cae_15.b_dom,Part de bâtiments =<100 kWhep/m².an,%,,Part de bâtiments =<100 kWhep/m².an (calcul DPE ou équivalent) (DOM),cae_12,"cae, dom",energie_et_climat,"cae_2.2.1, cae_2.2.2",,TRUE,FALSE,,,2,"Dans les DOM, l'indicateur mesure la part (en surface -à défaut en nombre) de bâtiments dont la collectivité est propriétaire (ou mis à disposition avec transfert des droits patrimoniaux) dont la consommation d'énergie primaire est inférieure ou égale à 100 kWhep/m². Les modalités de calcul sont celles du Diagnostic de Performance Energétique s'il existe dans le DOM concerné ou toute démarche équivalente. Les piscines/patinoires sont exclues.","si identite(localisation, DOM) alors 30","si identite(localisation, DOM) alors 0",Valeurs cible et limite définies par le programme T.E.T.E.
cae_16.a,Consommation de chaleur/froid ENR&R - patrimoine collectivité,MWh,,Consommation de chaleur/rafraichissement renouvelable et de récupération - patrimoine collectivité,,"clef, cae",energie_et_climat,cae_2.2.3,,FALSE,FALSE,,,2,"Pour les bâtiments et équipements publics, l'indicateur mesure la consommation de chaleur/rafraichissement issue d’energie renouvelable et de récupération. Le patrimoine en DSP est inclus si possible ainsi que les services publics eau/assainissement/déchets lorsqu'ils sont de la compétence de la collectivité.

Pour les collectivités compétentes, la récupération de chaleur des UIOM ainsi que sur les eaux usées/épurées peut ainsi être prise en compte pour la part autoconsommée sur place (bâtiments de la collectivité et process). Les pompes à chaleur prise en compte sont les pompes à chaleur eau/eau, sol/eau, sol/sol avec une efficacité énergétique ≥ 126 % (PAC basse température) et une efficacité énergétique ≥ 111 % (PAC moyenne ou haute température).

Pour les bâtiments publics desservis par des réseaux de chaleur, le taux d’EnR&R du réseau est défini réglementairement et s’apprécie au regard du bulletin officiel des impôts vis-a-vis de la TVA réduite (BOI-TVA-LIQ-30 chapitre 2.140). La co-génération fossile n’est pas prise en compte.",,,
cae_16.b,Part des besoins couverts en chaleur et froid par les ENR&R - patrimoine collectivité,%,,Part des besoins couverts en chaleur et rafraichissement par les énergies renouvelables et de récupération (ENR&R) - patrimoine collectivité,,"clef, cae",energie_et_climat,cae_2.2.3,,TRUE,FALSE,,,2,"Pour les bâtiments et équipements publics, l'indicateur mesure le rapport de la consommation de chaleur/rafraichissement issue d’energie renouvelable et de récupération sur la consommation totale d'énergie pour les usages thermiques (chauffage, eau chaude sanitaire, climatisation-rafraichissement) en énergie finale. Le patrimoine en DSP est inclus si possible. Les consommations thermiques des services publics eau/assainissement/déchets sont prises en compte lorsqu'ils sont de la compétence de la collectivité. Pour les collectivités compétentes, la récupération de chaleur des UIOM ainsi que sur les eaux usées/épurées peut ainsi être prise en compte pour la part autoconsommée sur place (bâtiments de la collectivité et process).

Les pompes à chaleur prise en compte sont les pompes à chaleur eau/eau, sol/eau, sol/sol avec une efficacité énergétique ≥ 126 % (PAC basse température) et une efficacité énergétique ≥ 111 % (PAC moyenne ou haute température).

Pour les bâtiments publics desservis par des réseaux de chaleur, le taux d’EnR&R du réseau est défini réglementairement et s’apprécie au regard du bulletin officiel des impôts vis-a-vis de la TVA réduite (BOI-TVA-LIQ-30 chapitre 2.140). La co-génération fossile n’est pas prise en compte.
Valeur cible TETE : 38% métropole et 75% DOM","si identite(localisation, DOM) alors 75 sinon si identite(localisation, Metropole) alors 38",,Valeur cible définie par le programme T.E.T.E.
cae_17.a,Production d'électricité renouvelable - patrimoine collectivité,MWh,,Production d'électricité renouvelable - patrimoine collectivité,,"clef, cae",energie_et_climat,cae_2.2.4,,FALSE,FALSE,,,2,"L'indicateur mesure la production d'électricité d'origine renouvelable (installations financées en totalité ou en majorité par la collectivité et de sa compétence : éolien, photovoltaïque, hydraulique, marémotrice, géothermie haute température, électricité issue de l'incinération des déchets à hauteur de 50%, cogénération biomasse/biogaz...).",,,
cae_17.b,Taux de production d'électricité renouvelable - patrimoine collectivité,%,,Taux de production d'électricité renouvelable - patrimoine collectivité,,"clef, cae",energie_et_climat,cae_2.2.4,,TRUE,FALSE,,,2,"L'indicateur mesure le rapport de la production d'électricité d'origine renouvelable (installations financées en totalité ou en majorité par la collectivité et de sa compétence : éolien, photovoltaïque, hydraulique, marémotrice, géothermie haute température, électricité issue de l'incinération des déchets à hauteur de 50%, cogénération biomasse/biogaz...) sur la consommation totale d'électricité des bâtiments et équipements communaux (y compris l'éclairage public et les services industriels de la compétence de la collectivité) en énergie finale. Le patrimoine en DSP est inclus si possible. 
Valeur limite TETE : 0%
Valeur cible TETE : 32% commune, 40% EPCI, 75% DOM   
Objectif 2030 : 100%","si identite(localisation, DOM) alors 75 sinon si identite(type, EPCI) alors 40 sinon si identite(type, commune) alors 32",,Valeur cible définie par le programme T.E.T.E.
cae_18,Taux d’achat d’électricité renouvelable pour les bâtiments et équipements de la collectivité,%,,Part des achats d’électricité renouvelable de la collectivité,,"clef, cae",strategie_orga_interne,cae_2.2.4,,TRUE,FALSE,,,2,"L'indicateur mesure le rapport entre les achats d'électricité renouvelable et le montant total des achats d'électricité de la collectivité pour les bâtiments et équipements de la collectivité (y compris services publics eaux, assainissement, déchets et éclairage public s’ils sont de la compétence de la collectivité) (en kWh ou MWh). La cible est de 100%",100,,Valeur cible définie par le programme T.E.T.E.
cae_19.a_hors_dom,Bâtiments publics de classe F ou G - GES,%,,Part de bâtiments publics de classe F ou G selon le DPE pour les GES (ou équivalent),cae_12,"cae, hors_dom",energie_et_climat,cae_2.2.5,,TRUE,FALSE,,,2,"En France métropolitaine, l'indicateur mesure la part (en surface -à défaut en nombre) de bâtiments, soumis ou non à l'obligation de réalisation du DPE, dont la collectivité est propriétaire (ou mis à disposition avec transferts des droits patrimoniaux) compris dans les classes F et G selon le DPE pour les GES. Le patrimoine en DSP est inclus si possible. Sont exclus de cet indicateur les bâtiments qui doivent garantir des conditions de températures, d'hygrométrie ou de qualité de l'air nécessitant des règles particulières (notamment piscines et patinoires) ou destinés à rester ouverts sur l'extérieur. Les classes de performance et les modalités de calcul sont celles du Diagnostic de Performance Energétique, telles qu'elles sont définies dans l'arrêté du 7 décembre 2007 relatif à l'affichage du DPE dans les bâtiments publics en France métropolitaine (énergie primaire et distinction de 3 catégories de bâtiments). Toute démarche équivalente pourra être prise en compte. L'indicateur permet de mesurer l'effort de la collectivité pour la rénovation de ces bâtiments les plus émetteurs. L'objectif est de ne plus avoir de patrimoine dans ces classes (valeur limite : 10%).",0,10,Valeurs cible et limite définies par le programme T.E.T.E.
cae_19.b_hors_dom,Bâtiments publics de classe A ou B - GES,%,,Part de bâtiments publics de classe A ou B selon le DPE pour les GES (ou équivalent),cae_12,"cae, hors_dom",energie_et_climat,cae_2.2.5,,TRUE,FALSE,,,2,"En France métropolitaine, l'indicateur mesure la part (en surface -à défaut en nombre) de bâtiments, soumis ou non à l'obligation de réalisation du DPE, dont la collectivité est propriétaire (ou mis à disposition avec transferts des droits patrimoniaux) compris dans les classes A et B selon le DPE pour les GES. Le patrimoine en DSP est inclus si possible. Sont exclus de cet indicateur les bâtiments qui doivent garantir des conditions de températures, d'hygrométrie ou de qualité de l'air nécessitant des règles particulières (notamment piscines et patinoires) ou destinés à rester ouverts sur l'extérieur. Les classes de performance et les modalités de calcul sont celles du Diagnostic de Performance Energétique, telles qu'elles sont définies dans l'arrêté du 7 décembre 2007 relatif à l'affichage du DPE dans les bâtiments publics en France métropolitaine (énergie primaire et distinction de 3 catégories de bâtiments). Toute démarche équivalente pourra être prise en compte. La cible est d'atteindre 30% du parc dans les classes A et B (mais valorisation progressive à partir de 0%).",30,0,Valeurs cible et limite définies par le programme T.E.T.E.
cae_2.a,Consommation énergétique finale,GWh,,Consommation énergétique finale du territoire (GWh),,"SYDEV, agregation, cae, clef, crte, pcaet",energie_et_climat,cae_1.1.1,val(cae_2.e)+opt_val(cae_2.f)+val(cae_2.i)+opt_val(cae_2.j)+opt_val(cae_2.m)+opt_val(cae_2.k)+opt_val(cae_2.l_pcaet),FALSE,FALSE,,,2,"Cet indicateur estime la consommation énergétique finale annuelle du territoire, selon les exigences réglementaires des PCAET (décret n°2016-849 du 28 juin 2016 et arrêté du 4 août 2016 relatifs au plan climat-air-énergie territorial).

L'indicateur est exprimé en GWh.

**Objectif opérationnel national fixé par les documents de référence:** Programmation pluriannuelle de l’énergie (PPE)

-   Baisse de la consommation finale d’énergie de 16,5 % en 2028 par rapport à 2012 (soit 15,4 % par rapport à 2018)
    
-   Baisse de 20 % de la consommation primaire d’énergies fossiles en 2023 et de 35 % en 2028 par rapport à 2012",,,
cae_2.b,Consommation énergétique finale par habitant,MWh/hab,,Consommation énergétique finale annuelle du territoire par habitant (MWh/hab),,"clef, cae, crte",energie_et_climat,cae_1.1.1,val(cae_2.a)/val(terr_1)*1000,FALSE,FALSE,,,2,,,,
