,nom,siren,nature
1059,CC du Pays de Lumbres,246201016,CC
1060,"SM d'élimination et de valorisation des déchets des communautés d'agglomération du Douaisis, d'Hénin-Carvin et de la communauté de communes Osartis (SYMEVAD)",200007201,SMF
1061,SM Lys Audomarois (SMLA),256203761,SMF
1062,SM Flandre Morinie,256203910,SMF
1063,SM d'élimination et de valorisation des déchets ménagers du Calaisis (SEVADEC ),256203936,SMF
1064,SM Artois valorisation,256204074,SMF
1065,SM de traitement et de tri,256204199,SMF
1066,PETR Ternois-7 vallées,200075679,PETR
1067,Clermont Auvergne Métropole,246300701,METRO
1068,CA Agglo Pays d'Issoire,200070407,CA
1069,CA Riom Limagne et Volcans,200070753,CA
1070,CC Billom Communauté,200067627,CC
1071,CC Dômes Sancy Artense,200069169,CC
1072,CC Mond'Arverne Communauté,200069177,CC
1073,CC Thiers Dore et Montagne,200070712,CC
1074,CC Ambert Livradois Forez,200070761,CC
1075,CC Plaine Limagne,200071199,CC
1076,CC Chavanon Combrailles et Volcans,200071215,CC
1077,CC du Pays de Saint-Eloy,200072080,CC
1078,CC Combrailles Sioule et Morge,200072098,CC
1079,CC du Massif du Sancy,246300966,CC
1080,CC Entre Dore et Allier,246301097,CC
1081,SM de collecte et de traitement des résidus urbains du bois de l'Aumône (SBA),256300161,SMF
1082,SICTOM des Couzes,256301052,SMF
1083,SM de collecte et de traitement des ordures ménagères de la Haute Dordogne (SMCTOM de la Haute Dordogne),256301086,SMF
1084,SICTOM des Combrailles,256301128,SMF
1085,SICTOM de la région de Pontaumur - Pontgibaud,256301185,SMF
1086,Syndicat pour la valorisation et le traitement des déchets ménagers et assimilés du Puy-de-Dôme et de la Haute Loire (VALTOM),256302670,SMF
1087,CA du Pays Basque,200067106,CA
1088,CA Pau Béarn Pyrénées,200067254,CA
1089,CC de Lacq-Orthez,200039204,CC
1090,CC des Luys en Béarn,200067239,CC
1091,CC du Haut Béarn,200067262,CC
1092,CC du Béarn des Gaves,200067288,CC
1093,CC du Nord Est Béarn,200067296,CC
1094,CC de la Vallée d'Ossau,246400337,CC
1095,CC Pays de Nay,246401756,CC
1096,SIECTOM coteaux Béarn Adour,256404542,SMF
1097,SM Bil Ta Garbi,256404641,SMF
1098,CA Tarbes-Lourdes-Pyrénées,200069300,CA
1099,CC du Plateau de Lannemezan,200070787,CC
1100,CC du Pays de Trie et du Magnoac,200070795,CC
1101,CC des Coteaux du Val d'Arros,200070803,CC
1102,CC Pyrénées Vallées des Gaves,200070811,CC
1103,CC Neste Barousse,200070829,CC
1104,CC Adour Madiran,200072106,CC
1105,CC de la Haute-Bigorre,246500482,CC
1106,CC Aure Louron,246500573,CC
1107,SM départemental de traitement des déchets ménagers et assimilés,200011732,SMF
1108,SM de collecte et de traitement des ordures ménagères du plateau de Lannemezan-Nestes-coteaux,200041234,SMF
1109,SM de l'agglomération tarbaise élimination des déchets ménagers et assimilés,256500869,SMF
1110,CU Perpignan Méditerranée Métropole,200027183,CU
1111,"CC des Albères, de la Côte Vermeille et de l'Illibéris",200043602,CC
1112,CC Conflent-Canigó,200049211,CC
1113,CC Corbières Salanque Méditerranée,200070365,CC
1114,CC Sud-Roussillon,246600282,CC
1115,CC du Vallespir,246600373,CC
1116,CC Pyrénées Cerdagne,246600399,CC
1117,CC Roussillon-Conflent,246600415,CC
1118,CC Agly Fenouillèdes,246600423,CC
1119,CC des Aspres,246600449,CC
1120,CC Pyrénées Catalanes,246600464,CC
1121,CC du Haut Vallespir,246600548,CC
1122,SIVOM canton de Millas,246600183,SIVOM
1123,SM ramassage ordures ménagères Font-Romeu-Odeillo-Via,200049716,SMF
1124,"SM départemental de transport, traitement et valorisation des ordures ménagères et déchets assimilés (SYDETOM)",256601501,SMF
1125,Eurométropole de Strasbourg,246700488,METRO
1126,CA de Haguenau,200067874,CA
1127,CC Sauer-Pechelbronn,200013050,CC
1128,CC du Ried de Marckolsheim,200030526,CC
1129,CC du Pays de Barr,200034270,CC
1130,CC du Kochersberg,200034635,CC
1131,CC de l'Outre-Forêt,200040178,CC
1132,CC de la Plaine du Rhin,200041283,CC
1133,CC du Pays Rhénan,200041325,CC
1134,CC de Hanau-La Petite Pierre,200067783,CC
1135,CC de l'Alsace Bossue,200067841,CC
1136,CC du Canton d'Erstein,200067924,CC
1137,CC du Pays de Saverne,200068112,CC
1138,CC de la Mossig et du Vignoble,200068864,CC
1139,CC de la Vallée de la Bruche,246700306,CC
1140,CC des Portes de Rosheim,246700744,CC
1141,CC de la Vallée de Villé,246700777,CC
1142,CC de la Basse-Zorn,246700843,CC
1143,CC du Pays de Wissembourg,246700926,CC
1144,CC du Pays de la Zorn,246700959,CC
1145,CC de Sélestat,246700967,CC
1146,CC de la Région de Molsheim-Mutzig,246701064,CC
1147,CC du Pays de Sainte-Odile,246701080,CC
1148,CC du Pays de Niederbronn-les-Bains,246701098,CC
1149,SIVOM de la région de Wissembourg,246700462,SIVOM
1150,SM pour la collecte et le traitement des ordures ménagères de Molsheim et environs ,200051878,SMF
1151,Syndicat Mixte Intercommunal pour la Collecte et le Traitement des Ordures Ménagères du Nord Alsace,256701244,SMF
1152,SM pour la collecte et de traitement des ordures ménagères de la région de Saverne,256701301,SMF
1153,SM pour le traitement des ordures ménagères du secteur de Haguenau - Saverne (SMITOM),256701871,SMF
1154,SM du Pays de la Mossig et de la Sommerau,256702937,SMF
1155,SM de collecte et de traitement des ordures ménagères d'Alsace Centrale,256702960,SMF
1156,PETR Sélestat - Alsace Centrale,200069680,PETR
1157,CA Mulhouse Alsace Agglomération,200066009,CA
1158,CA Saint-Louis Agglomération,200066058,CA
1159,CA Colmar Agglomération,246800726,CA
1160,CC de Thann-Cernay,200036465,CC
1161,CC Pays Rhin - Brisach,200066025,CC
1162,CC Sud Alsace Largue,200066033,CC
1163,CC Sundgau,200066041,CC
1164,CC de la Vallée de Saint-Amarin,246800205,CC
1165,CC du Val d'Argent,246800395,CC
1166,CC du Centre du Haut-Rhin,246800445,CC
1167,"CC du Pays de Rouffach, Vignobles et Châteaux",246800494,CC
1168,CC de la Vallée de Kaysersberg,246800551,CC
1169,CC de la Région de Guebwiller,246800569,CC
1170,CC du Pays de Ribeauvillé,246800577,CC
1171,CC de la Vallée de Munster,246800585,CC
1172,CC de la Vallée de la Doller et du Soultzbach,246800676,CC
1173,SIVOM de la station climatique des trois épis,246800510,SIVOM
1174,SIVOM de l'agglomération mulhousienne,246800254,SMF
1175,SM à vocation multiple pour le traitement des déchets ménagers du secteur 4,256801531,SMF
1176,SI de traitement des déchets de Colmar et environs,256801697,SMF
1177,SM de Thann-Cernay pour la gestion des déchets ménagers et assimilés,256802208,SMF
1178,CA de l'Ouest Rhodanien,200040566,CA
1179,CA Villefranche Beaujolais Saône,200040590,CA
1180,CC Beaujolais Pierres Dorées,200040574,CC
1181,CC des Monts du Lyonnais,200066587,CC
1182,CC Saône-Beaujolais,200067817,CC
1183,CC de l'Est Lyonnais (CCEL),246900575,CC
