Code Insee Commune	Nom Commune	Département Commune	Siren Groupement	Nom Groupement	Nature Juridique Groupement	Siren Groupement intermédiaire	Nom Groupement intermédiaire	Nature Juridique Groupement intermédiaire
63002	Aix-la-Fayette	63	200070761	CC Ambert Livradois Forez	CC
63003	Ambert	63	200070761	CC Ambert Livradois Forez	CC
63005	Antoingt	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63006	Anzat-le-Luguet	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63007	Apchat	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63014	Aubière	63	246300701	Clermont Auvergne Métropole	METRO
63019	Aulnat	63	246300701	Clermont Auvergne Métropole	METRO
