Code Insee Commune	Nom Commune	Département Commune	Siren Groupement	Nom Groupement	Nature Juridique Groupement	Siren Groupement intermédiaire	Nom Groupement intermédiaire	Nature Juridique Groupement intermédiaire
63005	Antoingt	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63006	Anzat-le-Luguet	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63020	Aurières	63	256301185	SM de collecte des déchets ménagers Dômes et Combrailles	SMF	200069169	CC Dômes Sancy Artense	CC
63024	Avèze	63	256301086	SMCTOM de la Haute Dordogne	SMF	200069169	CC Dômes Sancy Artense	CC
63028	Bagnols	63	256301086	SMCTOM de la Haute Dordogne	SMF	200069169	CC Dômes Sancy Artense	CC
