Code Insee Commune	Nom Commune	Département Commune	Siren Groupement	Nom Groupement	Nature Juridique Groupement	Siren Groupement intermédiaire	Nom Groupement intermédiaire	Nature Juridique Groupement intermédiaire
63005	Antoingt	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63006	Anzat-le-Luguet	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63007	Apchat	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63009	Ardes	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63017	Augnat	63	254300049	SICTOM Issoire - Brioude	SMF	200070407	CA Agglo Pays d'Issoire	CA
63080	Champeix	63	256301052	SICTOM des Couzes	SMF	200070407	CA Agglo Pays d'Issoire	CA
63077	Chambon-sur-Lac	63	256301052	SICTOM des Couzes	SMF	200070407	CA Agglo Pays d'Issoire	CA
63038	Besse-et-Saint-Anastaise	63	256301052	SICTOM des Couzes	SMF	200070407	CA Agglo Pays d'Issoire	CA
