id,competenceCode,formulation,consignesJustification,type,thematiqueId,ordonnancement,exprVisible,typesCollectivitesConcernees,description,ColonneNonImportee-Metier
assainissement_3,,"En cas de compétence partagée ou variable sur le territoire pour la compétence assainissement, quelle est la part des communes ayant délégué leur compétence assainissement ?",,proportion,preserver,5,,epci,,CAE
assainissement_4,,"Une étude, portant sur la totalité du périmètre d’assainissement, a-t-elle été réalisée pour connaitre le potentiel de valorisation énergétique ?",,binaire,preserver,6,,,,CAE
assainissement_4bis,,"Si oui, cette étude indique-t-elle un potentiel de valorisation énergétique (méthanisation ou récupération de chaleur) ?",,binaire,preserver,7,"Si reponse(assainissement_4, OUI) alors VRAI",,,CAE
GEPU,1520,"La collectivité a-t-elle la compétence « Gestion des eaux pluviales urbaines », sur la totalité ou une partie du territoire ?",,binaire,preserver,8,,,,RefCommun
Inondation_1,2015,La collectivité exerce-t-elle la compétence « Défense contre les inondations et contre la mer » ? ,,binaire,preserver,9,,,"Il s’agit du volet ""PI"" (prévention des inondations) de la compétence GEMAPI (Gestion des milieux aquatiques et la prévention des inondations).",RefCommun
Inondation_2,,Existe-t-il un risque d’inondation sur le territoire (tous aléas confondus) ?,"S’il n’existe pas de risque inondation sur le territoire, merci de le démontrer",binaire,preserver,10,,,"Précision pour apprécier le risque inondation : Depuis la mise en œuvre de la directive européenne 2007/60/CE, dite « directive inondation », l’ensemble du territoire français a fait l’objet de plusieurs “évaluations préliminaires du risque d’inondation” qui comprennent entre autres des cartographies des aléas d’inondation, toutes origines des inondations confondues. En l’absence d’étude plus précise (PPRi, PPRL, étude locale, etc.), on pourra se référer à ces cartographies publiques pour apprécier l’absence de risque d’inondation.",RefCommun
foret,,"Sur le territoire de la collectivité, y a-t-il moins de 10 % de surfaces forestières (publiques ou privées) ?",,binaire,preserver,11,,,,CAE
SAU,,"Sur le territoire de la collectivité, y a-t-il moins de 3 % de Surface Agricole Utile (SAU) ?",,binaire,preserver,12,,,,CAE
dechets_3,,La collectivité est-elle chargée de la réalisation d'un Programme local de prévention des déchets ménagers et assimilés (PLPDMA) du fait de sa compétence collecte et/ou par délégation d'une autre collectivité ?,,binaire,produire,1,,,,CAE
dechets_1,2080,La collectivité a-t-elle la compétence collecte des déchets ménagers et assimilés ?,,binaire,produire,2,,,,RefCommun / CAE / ECi
dechets_2,2085,La collectivité a-t-elle la compétence traitement des déchets ménagers et assimilés ?,,binaire,produire,3,,,,RefCommun / CAE / ECi
dechets_4,,"Si la collectivité a transféré le traitement des déchets à un syndicat compétent en la matière, quelle est la part de la collectivité dans ce syndicat ?",,proportion,produire,5,,epci,,CAE
REOM,,La collectivité a-t-elle mise en place la redevance d’enlèvement des ordures ménagères (REOM) ?,,binaire,produire,6,,,,CAE
dev_eco_1,4000,"La collectivité a-t-elle la compétence développement économique, politique locale du commerce et soutien aux activités commerciales ?",,binaire,produire,7,,,,RefCommun / CAE
dev_eco_2,,Quelle est la part de la collectivité dans la structure compétente en matière de développement économique ?,,proportion,produire,8,"Si reponse(dev_eco_1, NON) alors VRAI",commune,,CAE
ZA,4005,"La collectivité a-t-elle la compétence Création, aménagement, entretien et gestion de zones d'activité industrielle, commerciale, tertiaire, artisanale, touristique, portuaire ou aéroportuaire ?",,binaire,produire,9,,,,RefCommun
EIT,,Une démarche d'EIT portée par un autre acteur existe-t-elle déjà sur le territoire ?,,binaire,produire,10,,,,RefCommun
dev_eco_4,,Le territoire de la collectivité dispose-t-il d'un tissu économique propice à l’émergence de projets d’écologie industrielle ?,,binaire,produire,11,,,,CAE
AODE,,La collectivité est-elle Autorité Organisatrice de la Distribution d’Energie (AODE) ?,,binaire,produire,12,,,,RefCommun
AOD_elec,1005,La collectivité exerce-t-elle la compétence « Concession de la distribution publique d'électricité » ?,,binaire,produire,13,,,,RefCommun / CAE
AOD_gaz,1010,La collectivité exerce-t-elle la compétence « Concession de la distribution publique de gaz » ? ,,binaire,produire,14,,,,RefCommun / CAE
RCU_1,1015,"La collectivité exerce-t-elle la compétence « Création, aménagement, entretien et gestion des réseaux de chaleur ou de froid urbain » ? ",,binaire,produire,15,,,,RefCommun
AOD_chaleur,,La collectivité est-elle autorité organisatrice de la distribution (AOD) pour la chaleur ?,,binaire,produire,16,,,,CAE
RCU_2,,Est-ce que la collectivité dispose d’un potentiel de réseau de chaleur ou de froid structurant sur son territoire (basé sur une étude qui peut être le PCAET) ?,,binaire,produire,17,,,,RefCommun
fournisseur_energie,,Existe-t-il des fournisseurs d’énergie maîtrisés par la collectivité (Société d'économie mixte (SEM) ou régie ou exploitants de réseau de chaleur urbain liés à la collectivité par délégation de service public) ?,,binaire,produire,18,,,,CAE
recuperation_cogeneration,,"Existe-t-il des activités industrielles, en nombre assez important, adaptées pour la récupération de chaleur fatale ou du potentiel pour la cogénération voir la micro-cogénération (soit des chaufferies ou des consommateurs suffisants en chaleur ou des producteurs-consommateurs visant l’autoconsommation) ?",,binaire,produire,19,,,,CAE
potentiel_eolien_ou_hydro,,La collectivité dispose-t-elle de potentiel éolien ou hydraulique ?,,binaire,produire,20,,,,CAE
ECS,,La collectivité a-t-elle des besoins en eau chaude sanitaire ?,,binaire,produire,21,,,,CAE
E_formation,,Y a-t-il des établissements de formation supérieure sur le territoire ?,,binaire,enfance,22,,,,CAE
formation,,Existe-t-il des établissements de formation initiale et continue sur le territoire ?,,binaire,produire,23,,,,RefCommun
Deblais,,Je souhaite suivre la production de DMA avec déblais et gravats,,binaire,produire,4,"Si reponse(dechets_1, OUI) alors VRAI
sinon si reponse(dechets_2, OUI) alors VRAI",,,RefCommun
